listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
11508,30/01/2025,f,60,,3,1125
11508,31/01/2025,f,60,,3,1125
11508,01/02/2025,f,60,,3,1125
11508,02/02/2025,f,60,,3,1125
11508,03/02/2025,f,60,,3,1125
11508,04/02/2025,f,60,,3,1125
11508,05/02/2025,f,60,,3,1125
11508,06/02/2025,f,60,,3,1125
11508,07/02/2025,f,60,,3,1125
11508,08/02/2025,f,60,,3,1125
11508,09/02/2025,f,60,,3,1125
11508,10/02/2025,t,60,,3,1125
11508,11/02/2025,t,60,,3,1125
11508,12/02/2025,t,60,,3,1125
11508,13/02/2025,t,60,,3,1125
11508,14/02/2025,f,60,,3,1125
11508,15/02/2025,f,60,,3,1125
11508,16/02/2025,f,60,,3,1125
11508,17/02/2025,f,60,,3,1125
11508,18/02/2025,f,60,,3,1125
11508,19/02/2025,f,60,,3,1125
11508,20/02/2025,f,60,,3,1125
11508,21/02/2025,f,60,,3,1125
11508,22/02/2025,f,60,,3,1125
11508,23/02/2025,f,60,,3,1125
11508,24/02/2025,f,60,,3,1125
11508,25/02/2025,f,60,,3,1125
11508,26/02/2025,f,60,,3,1125
11508,27/02/2025,f,60,,3,1125
11508,28/02/2025,f,60,,3,1125
11508,01/03/2025,f,60,,3,1125
11508,02/03/2025,f,60,,3,1125
11508,03/03/2025,f,60,,3,1125
11508,04/03/2025,f,60,,3,1125
11508,05/03/2025,f,60,,3,1125
11508,06/03/2025,f,60,,3,1125
11508,07/03/2025,f,60,,3,1125
11508,08/03/2025,f,60,,3,1125
11508,09/03/2025,f,60,,3,1125
11508,10/03/2025,f,60,,3,1125
11508,11/03/2025,f,60,,3,1125
11508,12/03/2025,f,60,,3,1125
11508,13/03/2025,f,60,,3,1125
11508,14/03/2025,f,60,,3,1125
11508,15/03/2025,f,60,,3,1125
11508,16/03/2025,f,60,,3,1125
11508,17/03/2025,f,60,,3,1125
11508,18/03/2025,f,60,,3,1125
11508,19/03/2025,f,60,,3,1125
11508,20/03/2025,f,60,,3,1125
11508,21/03/2025,f,60,,3,1125
11508,22/03/2025,f,60,,3,1125
11508,23/03/2025,f,60,,3,1125
11508,24/03/2025,f,60,,3,1125
11508,25/03/2025,f,60,,3,1125
11508,26/03/2025,f,60,,3,1125
11508,27/03/2025,f,60,,3,1125
11508,28/03/2025,f,60,,3,1125
11508,29/03/2025,f,60,,3,1125
11508,30/03/2025,f,60,,3,1125
11508,31/03/2025,f,60,,3,1125
11508,01/04/2025,f,60,,3,1125
11508,02/04/2025,f,60,,3,1125
11508,03/04/2025,f,60,,3,1125
11508,04/04/2025,f,60,,3,1125
11508,05/04/2025,f,60,,3,1125
11508,06/04/2025,f,60,,3,1125
11508,07/04/2025,f,60,,3,1125
11508,08/04/2025,f,60,,3,1125
11508,09/04/2025,t,60,,3,1125
11508,10/04/2025,t,60,,3,1125
11508,11/04/2025,t,60,,3,1125
11508,12/04/2025,t,60,,3,1125
11508,13/04/2025,t,60,,3,1125
11508,14/04/2025,t,60,,3,1125
11508,15/04/2025,t,60,,3,1125
11508,16/04/2025,t,60,,3,1125
11508,17/04/2025,t,60,,3,1125
11508,18/04/2025,t,60,,3,1125
11508,19/04/2025,t,60,,3,1125
11508,20/04/2025,t,60,,3,1125
11508,21/04/2025,t,60,,3,1125
