listing_id,id,date,reviewer_id,reviewer_name,comments
83440,1.24783E+18,17/09/2024,60259956,Andrea,"El apartamento es espacioso, con terraza, muy bien ubicado. La comunicación con el propietario es muy fácil y rápida. Se encuentra ubicado en una zona tranquila y céntrica. Muy bien equipado. Lo recomendaría sin duda, Santiago ha sido un gran anfitrión."
83440,1.28775E+18,11/11/2024,2156299,Marcelo,"Gracias por todo! Son anfritiones de confianza, el departamento impecable y siempre a disposicion. Gracias por todo y felicitaciones!"
83440,1.3196E+18,25/12/2024,124296794,Carlos Eduardo,Lo mejor del apartamento es la ubicación en pleno barro de Palermo que era nuestro objetivo. El apartamento tiene aire acondicionado en las dos habitaciones y el salon. Los electrodomésticos son antiguos pero funcionan bien todos. Santiago está atento a cualquier problema que pueda surgir. Se tiene todo para largas temporadas. El encargado del edificio está disponible para cualquier duda que haya.
84033,258387,10/05/2011,157564,Elena,"This is a marvelous apartment---filled with light, a one bedroom, very nicely decorated, and well appointed, in a great neighborhood, Palermo Soho. In a very attractive brand new building, guests have access to a sauna, a gym and a pool!  The kitchen is well equipt, there are 2 flat screen TVs; the bed is very comfy.  And upstairs, there is a lovely sunny private roof terrace, with a sitting area under a canopy, a dining table and parilla! The price is right as well--a very decent price for very fine accommodation. I was made to feel most welcome and comfortable by the apartment manager, Luciana, as well as by the owner, Maria, who answered my emails promptly and graciously.  Truly this apartment feels like a ¨home away from home¨. I enjoyed my stay here immensely."
84033,300517,06/06/2011,603990,Danielle,"The place was fantastic! Very comfortable, great terrace, lot's of natural light, excellent location. I would absolutely recommend it."
84033,316579,15/06/2011,513260,Marcelo,"MI experiencia en el departamento de María y Gustavo fue muy buena, el departamento esta muy bien ubicado y cuidado y ante cualquier inconveniente (mínimo) siempre estuvieron (en contacto telefónico y via mail o mandando algún asistente)  dispuestos a solucionarlo.
<br/>
<br/>En mi caso usé el departamento siendo de Buenos Aires por un tema laboral con lo que gran parte del día estaba allí dentro.
<br/>
<br/>Por último decirles que siendo usuario de departamentos de alquiler en el exterior ya sea, via home away, vrbo o esta página, puedo decirles que el departamento tiene nivel internacional y una muy buena relación costo y beneficio para quien venga a conocer Buenos Aires.
<br/>
<br/>Saludos
<br/>
<br/>Marcelo"
84033,335038,26/06/2011,494664,Andre,"A very nice apartment, clean and complete. A neighborhood with several nice bars and restaurants, a few blocks from the metro and Santa Fe Avenue, the starting point for all corners of the city. The predio, doormen sao very good people. We like a lot, ideal for a couple or a couple with one child. Mary and an excellent hostess. Already know to stay the next time, without thinking twice."
84033,355804,06/07/2011,189508,Sarah,The host canceled my reservation 96 days before arrival.
84033,392766,24/07/2011,689464,Alison,"Staying at Maria's apartment made my travel in Buenos Aires one of the highlights. Not only was it conveniently located near the trendy area of Palermo and easily accesible to the subway and buses, but the apartment it self was really comfortable with excellent facilities including gym, pool and terrace.
<br/>Lucianna, was extremely accomodating in providing me with the keys at a time that suited me. 
<br/>Many thanks!"
84033,591823,03/10/2011,314495,Gabriel,"This is the best location in Buenos Aires.   Palermo is where you want to be and this apartment is right between the most happening parts of Palermo:  Plaza Armenia and Plaza Serrano, and still only a short walk to the Metro stop at Plaza Italia. 
<br/>
<br/>This is a great 1-bedroom, everything worked, was modern and comfortable.  The terrace upstairs is nice.  The building's gym was serviceable enough for some workouts.   The building manager was helpful in finding local stores.  "
